ADM0_EN,ADM0_TH,ADM0_PCODE,ADM1_EN,ADM2_TH,ADM1_Pcode,Year,Both_TOTAL,Both_00_04,Both_05_09,Both_10_14,Both_15_19,Both_20_24,Both_25_29,Both_30_34,Both_35_39,Both_40_44,Both_45_49,Both_50_54,Both_55_59,Both_60_64,Both_65_69,Both_70_74,Both_75_79,Both_80plus,Male_TOTAL,Male_00_04,Male_05_09,Male_10_14,Male_15_19,Male_20_24,Male_25_29,Male_30_34,Male_35_39,Male_40_44,Male_45_49,Male_50_54,Male_55_59,Male_60_64,Male_65_69,Male_70_74,Male_75_79,Male_80plus,Female_TOTAL,Female_00_04,Female_05_09,Female_10_14,Female_15_19,Female_20_24,Female_25_29,Female_30_34,Female_35_39,Female_40_44,Female_45_49,Female_50_54,Female_55_59,Female_60_64,Female_65_69,Female_70_74,Female_75_79,Female_80plus
Thailand,ประเทศไทย,TH,SATUN,สตูล,TH91,2020,270993,22572,21595,19790,17962,17809,19465,17662,20121,19957,18637,17315,16040,13261,10115,7817,5061,5814,137586,11478,10970,10387,9752,9899,10319,9048,10048,10206,9244,8545,7835,6360,4876,3733,2316,2570,133407,11094,10625,9403,8210,7910,9146,8614,10073,9751,9393,8770,8205,6901,5239,4084,2745,3244
Thailand,ประเทศไทย,TH,SI SA KET,ศรีสะเกษ,TH33,2020,723648,52167,53197,56379,45119,27007,30182,33463,47655,54782,54963,56710,55530,52962,41729,26317,17440,18046,351213,26890,27351,28689,22652,14528,15447,16395,22967,27088,27026,27213,26327,24328,18928,11378,7210,6796,372435,25277,25846,27690,22467,12479,14735,17068,24688,27694,27937,29497,29203,28634,22801,14939,10230,11250
Thailand,ประเทศไทย,TH,SING BURI,สิงห์บุรี,TH17,2020,155156,7667,7683,8071,7946,7288,8117,7847,8851,10542,12782,13443,14033,12455,9640,7770,5240,5781,73550,3923,3934,4297,4330,3783,4217,4008,4398,5015,5954,6038,6286,5433,4306,3397,2151,2080,81606,3744,3749,3774,3616,3505,3900,3839,4453,5527,6828,7405,7747,7022,5334,4373,3089,3701
Thailand,ประเทศไทย,TH,SONGKHLA,สงขลา,TH90,2020,1574431,101469,100233,96023,108879,132245,115704,104766,114493,113521,112325,107605,98350,85176,62949,47324,32975,40394,766444,52271,51498,49453,54459,66170,59651,52402,55848,55532,53795,50879,46107,38804,28616,21245,13990,15724,807987,49198,48735,46570,54420,66075,56053,52364,58645,57989,58530,56726,52243,46372,34333,26079,18985,24670
Thailand,ประเทศไทย,TH,SUKHOTHAI,สุโขทัย,TH64,2020,596662,32915,33601,35566,30423,22265,24293,27517,37398,45552,52873,55224,54849,46949,34469,26473,18056,18239,285122,17037,17481,18411,16276,11921,12492,13504,18159,21967,24956,25763,25125,21072,15440,11682,7411,6425,311540,15878,16120,17155,14147,10344,11801,14013,19239,23585,27917,29461,29724,25877,19029,14791,10645,11814
Thailand,ประเทศไทย,TH,SUPHAN BURI,สุพรรณบุรี,TH72,2020,748248,39988,40771,42023,40493,38237,40029,39000,45242,54106,61446,62912,62885,55174,43853,34401,22177,25511,357046,20583,21139,21507,21032,20239,20764,19642,22104,26088,28866,28922,28593,24359,19523,14938,9271,9476,391202,19405,19632,20516,19461,17998,19265,19358,23138,28018,32580,33990,34292,30815,24330,19463,12906,16035
Thailand,ประเทศไทย,TH,SURAT THANI,สุราษฎร์ธานี,TH84,2020,1051922,63365,60641,60406,66095,76817,82415,75986,85129,88290,80526,72802,61865,53309,40763,31078,23345,29090,518391,32314,30812,31249,33838,39201,42603,38529,42451,45308,40177,35868,29189,23985,18358,13760,9700,11049,533531,31051,29829,29157,32257,37616,39812,37457,42678,42982,40349,36934,32676,29324,22405,17318,13645,18041
Thailand,ประเทศไทย,TH,SURIN,สุรินทร์,TH32,2020,860410,62693,65789,68779,53872,32578,33781,37512,51478,59094,62770,66616,66514,65440,49508,33979,23979,26028,415134,31662,33670,35192,27465,17289,17342,18258,25046,28883,29881,31898,31042,29760,22209,14852,10406,10279,445276,31031,32119,33587,26407,15289,16439,19254,26432,30211,32889,34718,35472,35680,27299,19127,13573,15749
Thailand,ประเทศไทย,TH,TAK,ตาก,TH63,2020,510728,43113,43593,38087,34801,32840,33110,29635,33327,36139,36203,36167,32905,28469,20389,13188,9400,9362,253707,22360,22159,19548,17697,16519,16420,14764,16497,18127,18042,17867,16096,13658,9610,6156,4352,3835,257021,20753,21434,18539,17104,16321,16690,14871,16830,18012,18161,18300,16809,14811,10779,7032,5048,5527
Thailand,ประเทศไทย,TH,TRANG,ตรัง,TH92,2020,540949,35794,34460,34835,35129,33337,35458,34145,39250,41844,42163,39631,36775,29567,22380,17429,12957,15795,264221,18381,17946,17806,18199,17114,18221,16874,19168,20652,20695,19066,17178,13524,9980,7907,5547,5963,276728,17413,16514,17029,16930,16223,17237,17271,20082,21192,21468,20565,19597,16043,12400,9522,7410,9832
Thailand,ประเทศไทย,TH,TRAT,ตราด,TH23,2020,264085,16703,15309,15280,15798,17963,20410,18444,20360,21127,20021,19780,17318,14799,11493,8097,5183,6000,135144,8913,7929,7879,8168,9449,10924,10056,10903,10992,10195,9813,8416,7089,5578,3957,2397,2486,128941,7790,7380,7401,7630,8514,9486,8388,9457,10135,9826,9967,8902,7710,5915,4140,2786,3514
Thailand,ประเทศไทย,TH,UBON RATCHATHANI,อุบลราชธานี,TH34,2020,1614923,109789,114708,118929,107228,88525,79722,86502,113769,128159,116627,121221,116965,104660,78648,51845,36586,41040,794328,56211,59147,60993,54173,46177,40473,42482,55721,64135,57249,58997,56549,49281,36405,23144,16023,17168,820595,53578,55561,57936,53055,42348,39249,44020,58048,64024,59378,62224,60416,55379,42243,28701,20563,23872
Thailand,ประเทศไทย,TH,UDON THANI,อุดรธานี,TH41,2020,1020066,65696,70627,71582,66515,52597,52622,57264,73261,83021,79523,81200,77509,69778,50842,30396,18956,18677,498428,33513,36110,36568,33922,27611,26485,27826,35776,40950,38860,38827,36936,32682,23318,13633,8177,7234,521638,32183,34517,35014,32593,24986,26137,29438,37485,42071,40663,42373,40573,37096,27524,16763,10779,11443
Thailand,ประเทศไทย,TH,UTHAI THANI,อุทัยธานี,TH61,2020,260998,16399,16749,16514,13629,9995,11118,11697,15640,18924,20739,21818,23016,19869,16553,11831,7673,8834,125716,8294,8674,8559,7170,5277,5661,5648,7615,9209,9833,10255,10633,9371,7524,5366,3358,3269,135282,8105,8075,7955,6459,4718,5457,6049,8025,9715,10906,11563,12383,10498,9029,6465,4315,5565
Thailand,ประเทศไทย,TH,UTTARADIT,อุตรดิตถ์,TH53,2020,371390,18896,20572,21366,19779,16646,14517,15905,22412,26907,31282,34388,35243,29021,22795,16853,12254,12554,179333,9558,10638,10920,10257,8846,7552,7911,10798,13004,14752,16288,16751,13656,10562,7725,5272,4843,192057,9338,9934,10446,9522,7800,6965,7994,11614,13903,16530,18100,18492,15365,12233,9128,6982,7711
Thailand,ประเทศไทย,TH,YALA,ยะลา,TH95,2020,409580,36418,36037,33634,32182,32221,28398,24194,25851,28073,27202,22973,23441,19511,14292,11121,6758,7274,203813,18317,18409,17238,16652,16148,14347,12127,12654,14042,13526,11369,11424,9266,6818,5053,3147,3276,205767,18101,17628,16396,15530,16073,14051,12067,13197,14031,13676,11604,12017,10245,7474,6068,3611,3998
Thailand,ประเทศไทย,TH,YASOTHON,ยโสธร,TH35,2020,385065,23540,25666,27480,22122,14285,15110,17529,26388,31077,29530,32677,31523,30532,23479,14698,9789,9640,189167,12049,13328,14318,11491,8237,7936,8604,12937,15516,14634,15738,15208,14260,10829,6428,4076,3578,195898,11491,12338,13162,10631,6048,7174,8925,13451,15561,14896,16939,16315,16272,12650,8270,5713,6062
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ประเทศไทย,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
