report_country,state,population,source,year
Indonesia,Bali,4414431,UNFPA,2020
Indonesia,Banten,12895258,UNFPA,2020
Indonesia,Bengkulu,1994349,UNFPA,2020
Indonesia,DI Yogyakarta,3919197,UNFPA,2020
Indonesia,DKI Jakarta,10576418,UNFPA,2020
Indonesia,Gorontalo,1186261,UNFPA,2020
Indonesia,Jambi,3604186,UNFPA,2020
Indonesia,Jawa Barat,49565166,UNFPA,2020
Indonesia,Jawa Tengah,34738244,UNFPA,2020
Indonesia,Jawa Timur,39955941,UNFPA,2020
Indonesia,Kalimantan Barat,5104900,UNFPA,2020
Indonesia,Kalimantan Selatan,4268610,UNFPA,2020
Indonesia,Kalimantan Tengah,2686252,UNFPA,2020
Indonesia,Kalimantan Timur,3664673,UNFPA,2020
Indonesia,Kalimantan Utara,708352,UNFPA,2020
Indonesia,Bangka Belitung,1469809,UNFPA,2020
Indonesia,Kepulauan Riau,2309529,UNFPA,2020
Indonesia,Lampung,8534849,UNFPA,2020
Indonesia,Maluku,1787087,UNFPA,2020
Indonesia,Maluku Utara,1252317,UNFPA,2020
Indonesia,Nusa Tenggara Barat,5225915,UNFPA,2020
Indonesia,Nusa Tenggara Timur,5513402,UNFPA,2020
Indonesia,Papua,3393075,UNFPA,2020
Indonesia,Papua Barat,986024,UNFPA,2020
Indonesia,Riau,6951217,UNFPA,2020
Indonesia,Sulawesi Barat,1378110,UNFPA,2020
Indonesia,Sulawesi Selatan,8888762,UNFPA,2020
Indonesia,Sulawesi Tengah,3081720,UNFPA,2020
Indonesia,Sulawesi Tenggara,2703466,UNFPA,2020
Indonesia,Sulawesi Utara,2512942,UNFPA,2020
Indonesia,Sumatera Barat,5545706,UNFPA,2020
Indonesia,Sumatera Selatan,8600765,UNFPA,2020
Indonesia,Sumatera Utara,14798404,UNFPA,2020
Malaysia,Perlis,250000,MoH,2018
Malaysia,Kedah,2180000,MoH,2018
Malaysia,Pulau Pinang,1770000,MoH,2018
Malaysia,Perak,2510000,MoH,2018
Malaysia,Selangor,6530000,MoH,2018
Malaysia,Negeri Sembilan,1130000,MoH,2018
